Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,"Point-of-Care Ultrasound for COVID-19 (COVID-19 Project) This project will deliver AI and expert-supported point-of-care ultrasound for immediate COVID-19 diagnosis, and create the first gold-standard pulmonary ultrasound dataset in North America for COVID-19.","Providence HealthCare, Clarius, Change Healthcare, Vancouver Coastal Health (VCH), UBC, Rural Coordination Centre of BC (RCCbc)",COVID-19,0.5,0.68,05/26/2020,"Vancouver, BC"
Digital Technology Cluster,"Protecting Canadians by Predicting the Evolution of COVID-19 (COVID-19 Project) This project will develop a computational model that accurately predicts the conformational structure of mutant versions of the SARS-CoV-2 Viral Spike Protein Receptor Binding Domain (RBD), and an index of functionally permissible point mutants, thereby permitting pre-emptive development of tests, vaccines and therapies against likely variants that will arise once herd immunity is established.","Terramera, Naussler Biosciences, Microsoft, D-Wave, Menten AI, UBC, ProMIS Neurosciences",COVID-19,1.83,2.07,05/26/2020,"Vancouver, BC"
Digital Technology Cluster,"xrAI (COVID-19 Project) This project will develop a medical software that applies AI and machine learning to improve the accuracy and interpretation of chest X-rays, and diagnosis of COVID-19 patients. This tool supports clinicians by identifying lung abnormalities on chest radiographs within their existing clinical workflow and was recently fast tracked for approval by Health Canada. The AI software will enable clinicians to save lives through the early identification of COVID-19 and other respiratory diseases such as SARS, pneumonia, and tuberculosis.","1Qbit, Saskatchewan Health Authority, Fraser Health Authority, First Nations Health Authority, Trillium Health Partners, Microsoft",COVID-19,2,2.81,05/07/2020,"Vancouver, BC"
Digital Technology Cluster,"Athena Pathways This capacity building project will help more Canadian women see the potential of the tech sector, and how a career in AI could align with their skills and interests. Through training programs in computing science, as well as internship and mentorship programs, this project will support Canadian tech companies to fill job vacancies and, in turn, become more competitive while addressing the gender gap in AI.","Artificial Intelligence Network of BC (AInBC), UBC, SFU, BCIT, Northeastern University, Teck Resources, MetaOptima, Careteam, D-Wave, SCWIST, KPMG, Microsoft",General,0.06,0.87,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,Augmented Reality for Maintenance and Inspection This project will revolutionize aviation maintenance by building a new augmented reality engine to allow aircraft inspectors to examine historical and current data in order to compare a plane's current state to its state during previous inspections. Learnings from this project could lead to a host of applications that leverage augmented reality for the inspection of large objects across the transportation industry and beyond.,"Boeing Vancouver/Aeroinfo, Unity Technologies (formerly Finger Food Advanced Technology), SFU",General,0.23,0.56,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Autonomous Systems Technician Project partners will tackle talent shortages by equipping students with the skills needed to install and maintain autonomous telecommunications systems through a new certification program based on BCIT's existing Telecommunications System Technician diploma. This program will have additional content to meet the needs of natural resource companies and remote communities today, and will focus on training women, Indigenous peoples, and youth who are currently under-represented in the field. As resource companies shift to operating remote facilities with real-time sensors and systems, the program will prepare students to work with innovative technologies such as AI, IoT and machine learning to enhance operations, ensure worker safety, monitor equipment, and increase productivity.","College of the Rockies, Teck Resources, BCIT,",General,0.08,0.82,01/16/2020,"Kootenay Region, BC"
Digital Technology Cluster,"CAMPFIRE This project will help mid-career workers gain skills needed to thrive in the digital economy. The Competency Assessment Mapping Platform will personalize services to individual users' needs and will be driven by their actual skills and competencies rather than simply basing the process on credentials. The project will initially focus on three key economic sectors: forestry, healthcare, and mining, and is expected to help impacted workers reduce their time to re-employment by 25 percent. It is also designed to be scalable and extended to other sectors, providing a much-needed approach for building capacity and supporting workforce transformation across the Canadian economy.","BCIT, Immigration Employment Council of BC Society (IECBC), LifeLabs",General,0.07,0.52,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Design for Startups This project will connect design students with technology startups through intensive 12-week sessions to develop applied solutions to product design problems. The project aims to bridge the gap between the technology and design communities in order to improve digital products, platforms and services. This hands-on program will help advance the careers of emerging designers and advance the core product offering of up to 40 regional startups.","Emily Carr University of Art & Design, BC Tech, A&K Robotics, CoPilot AI, Innovate BC, 40 technology start-ups",General,0.06,0.47,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Diversifying Talent in Quantum Computing This outreach project will work with youth and Indigenous education leaders to ensure that students are aware of career opportunities in the quantum computing space. The program will deliver ready-to-use education kits and curriculums through workshops, summer camps, specialized programming for girls and Indigenous students, teacher training through an online quantum computing resource hub and a bi-weekly 'Quantum bit' podcasts that will host well-known international academics and industry experts.","UBC, D-Wave, Microsoft",General,0.06,0.5,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Fresh Water Data Commons This project will pilot a platform to harness water monitoring data from a river basin in B.C. to better understand the health of the surrounding ecosystem, and the relationship between water quality, microorganisms, and industrial activities. Real-time data will be collected across the pilot area with a network of low-power, low-cost sensors in the environment to measure water quantity, water quality, as well as climate data, including precipitation. This platform offers a new monitoring tool that can help every part of Canada -- and the world -- use data to improve regional water management, and ultimately protect water, people, ecosystems and the economy as the demand for fresh water continues to rise.","Carl Data, Teck Resources, Microsoft, Astra Smart Systems, I4C Innovations, Living Lakes Canada, University of Victoria, Genome BC",General,1.62,4.96,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Future Capital This project will provide investment education to 500 women, enabling them to lead and shape the future of the economy. By providing female leaders with the skills to invest in early-stage ventures, this program will help women to participate in the next generation of high-growth businesses and close the gender gap.","Female Funders, Microsoft, SFU",General,0.11,1.2,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"HyperTalent This project will tackle the tech talent shortage by working with K-12 urban and rural educators to build awareness around careers in technology, and connecting school curriculums with real-world examples of the opportunities ahead. The program will also provide a number of Indigenous youth with hands-on exposure to the tech sector through industry internships at leading technology companies. This broader approach will help youth align their interests and skills with prospective careers.","BC Tech Association, Accenture, Arrow Lakes School District 10, BCIT, Microsoft, Providence Health Care, St Paul's Foundation, SAP, Unbounce, Vancity, Vancouver School Board",General,0.07,0.45,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Intelligent Network for Point-of-Care Ultrasound This project will develop a bedside tool for doctors that combines machine learning, handheld ultrasound devices and a cloud-based platform to create an integrated and intelligent point-of-care ultrasound network to deliver faster, more accurate diagnoses to patients whether they reside in urban, rural or remote areas. This will position Canada as a leader in the development of integrated, point-of-care diagnostics while improving healthcare delivery and outcomes for Canadians. ","Providence Health Care, Change Healthcare, UBC, Clarius, Rural Coordination Centre of BC (RCCbc), Natural Sciences and Engineering Research Council of Canada (NSERC), Canada Foundation for Innovation",General,0.65,2.56,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Personal Health Wallet This project will use blockchain technology to create a personalized health wallet platform that will allow individuals to confidently manage their medical data with approved parties, while ensuring that their privacy and the security of their data is protected. This will enable patients to present a complete medical history to healthcare professionals when needed, including test results; prescription history; and treatment records, leading to more efficient and accurate diagnoses and treatment.","Molecular You, Stone Paper, UBC, Mitacs",General,0.54,1.38,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Precision Agriculture to Improve Crop Health Project partners will be working to develop new pest and pathogen controls to improve crop health through the use of computational biochemistry, genomics, machine learning, and robotics. The project will identify and test new pest management formulations and their ability to attack specific fungi on specific crops. It will also look into how crops and pests interact with different pesticides, pesticide enhancers, and alternatives. The computing tools developed by this project will be applicable in other fields outside of agriculture, including medicine, biotechnology, chemistry, and computer science.","Terramera, Sightline, Compression.ai, BC Cancer, Trent University, SFU, Universtiy of Saskatchewan, Agriculture and Agri-Food Canada, Genome BC, Michael Smith Foundation for Health Research",General,2.66,7.33,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"Reducing Opioid Use for Pain Management This consortium will collect and centralize patient data from multiple sources to create a complete snapshot of a patient's treatment before and after surgery. Physicians face the challenge of needing to balance pain management, with prescribing adequate and effective medication for each patient. This project offers a solution with customized post-operation strategies for each patient through a monitoring system that will ensure doctors have the information they need to manage and reduce the prescription and use of opioids.","Careteam, Excelar Technologies, Providence Health Care, Thrive Health, UBC, BC Children's Hospital Research Institute, Xerus Medical, NRC, Mitacs.",General,1.71,4.38,01/16/2020,"Vancouver, BC"
Digital Technology Cluster,"W Venture This project will build capacity for female entrepreneurs with diverse backgrounds aimed at increasing the representation of women in the technology sector. As an entrepreneurship development program designed by women for women, it will support female entrepreneurs and their tech ventures through boot camps, workshops, mentorship and peer sharing on leadership skills. This project offers women a more meaningful and impactful experience than programs available through traditional incubators and accelerators.","Victoria Innovation, Advanced Technology and Entrepreneurship Council (VIATEC), Accelerate Okanagan, Purpose Five, Communitech, University of Victoria, Coast Capital Savings Innovation Centre (CSIC)",General,0.11,0.63,01/16/2020,"Victoria, BC"
Digital Technology Cluster,"Dermatology Point-of-Care Intelligent Network This project will use a cloud-based technology platform to reduce time-to-diagnosis and help improve patient care by training artificial intelligence (AI) models on real-life clinical data in order to create algorithms for clinical decision support. The project will use tele-pathology and tele-dermatology imaging augmented by AI to expedite urgent cases faster through e-referral and e-triage. This new platform will serve as a basis for building similar end-to-end processes in other image-intensive service lines such as Cardiology, Radiology, Pathology and Ophthalmology.","Change Healthcare, BC Cancer, MetaOptima, Careteam Technologies, Providence Healthcare, University of Victoria, UBC",General,3.63,9.85,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,"Earth Data Store This project will see partners use earth observation data and environmental sensors to develop a comprehensive global imaging system for monitoring and predictive purposes. Through interactive visual maps and running deep learning algorithms, the project will foster cutting-edge analysis of Canada's vast forests, fields and mines to facilitate better observation and protection of remote areas. This will allow researchers, businesses, and government agencies to be able to make more informed decisions on a wide array of key environmental issues.","Urthecast, Sparkgeo, Microsoft, Geoscience BC, UBC, University of Victoria, Mitacs",General,1.73,3.94,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,"Forest Machine Connectivity This project will use an Industrial Internet of Things (IIoT) platform -- which is a network of 'smart' devices that can monitor, collect, exchange and analyze data -- to develop an application that will be used to solve technical barriers that impact efficiency in the wood product manufacturing industry. This application will allow contractors, machine operators and forest managers to identify bottlenecks, improve productivity in real time and develop best practices throughout the timber harvesting supply chain.","Canfor, UBC, Mosaic Forest Management, Lim Geomatics, FPInnovations",General,3.27,7.77,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,Predictive Analytics for Manufacturing Processes This project will see project partners create a digital twin of Avcorp Industries' metal finishing process line and uncover opportunities to capture key insights for fault detection. It will use Solid State AI's algorithms and D-Wave's quantum computers' capabilities to transform the fault-detection process from reactive to predictive-based solutions.,"D-Wave, Avcorp, Solid State AI, SFU, Mitacs",General,0.19,0.42,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,"Tailored Health - Pharmacogenetics This project will use a digitally-integrated solution to combine an individual's genetic makeup with their biophysical, drug and medical history. The outcome will be a gene-based medication management system that integrates both Electronic Medical Records and Pharmacy Management Systems. This initiative will enable population-based risk assessments, enhance prescribing effectiveness, reduce adverse drug reactions, and deliver better health outcomes for Canadians.","TELUS, GenXys Health Care Systems, LifeLabs, Emily Carr University of Art and Design, Genome BC, Mitacs",General,2.05,4.73,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,"Learning Factory Digital Twin This project brings industry, academia and researchers together to simulate and model industrial factory processes using real-time, data-driven technologies. This consortium will create a digital twin of two industrial production lines for complex Boeing aircraft parts. Partners will merge full-scale industrial production with technology to create new digitally-driven industrial tools in spatial planning, asset tracking, data collection and process automation.","Avcorp, Convergent Manufacturing Technologies, AMPD, Boeing/Aeroinfo, LlamaZOO, Microsoft, UBC",General,2.12,4.81,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,"Secure Health & Genomics Platform Program This project will leverage the Cluster's ecosystem leaders in cloud computing, bioinformatics, data security, genome science and health services to aggregate health and genomic data across the country in order to develop a pan-Canadian digital heath platform that will improve the diagnosis and treatment of patients with cancer and rare diseases.","Deloitte, DNAstack, Genome BC, LifeLabs, Molecular You, UBC, Microsoft",General,1.4,3.42,03/02/2019,"Vancouver, BC"
Digital Technology Cluster,"Maritime Emergency Response Systems This pilot project will develop an AI powered emergency preparedness and response system, enhancing real-time data integration, analytics, and coordination. The scalable solution holds commercial potential for adoption by emergency services and maritime industries, improving safety and resilience in ocean-related activities.","B-Side Group Consulting, ResolveHD, Canadian Emergency Services Collaborative Innovation Lab (CESCIL)",General,0.73,1.46,06/10/2025,"Halifax, NS"
Digital Technology Cluster,"Enhancing Aquaculture Productivity with Environmental Genomics This project will leverage environmental genomics technologies to address critical challenges faced by the salmon aquaculture industry, including environmental stewardship, as well as enhancing disease detection and mitigation efforts.","eDNAtec Inc., Mowi Canada West",General,0.93,2.94,06/10/2025,"Campbell River, BC"
Digital Technology Cluster,"Cleaner, Smoother, Natural Ship Bearings This new project is bringing a century-old Canadian innovation back to life with modern engineering. The initiative will reinvent lignum vitae wood stern tube bearings - a durable, naturally lubricated material once used in marine applications - to meet today's maritime demands for performance, efficiency, and sustainability.","Hydro Tech Inc, Canadian Maritime Engineering Ltd",General,1.84,4.54,06/10/2025,"Sault Ste Marie, ON"
Digital Technology Cluster,"Uncrewed Operations in the Offshore Clam Fishery The project aims to modernize and improve collection of crucial data by leveraging unmanned surface vessels (USVs). These USVs, equipped with new R2Sonic sensor technology, will be deployed and retrieved during commercial bottom fishing (trawling and dredging), improving our understanding of marine species and its habitats while enabling the industry to further reduce its ecological footprint.","ABCO Industries Inc, Clearwater Seafoods Inc.",General,0.46,1.15,06/10/2025,"Lunenburg, NS"
Digital Technology Cluster,"Microbial Protein for Sustainable Aquaculture This project will develop a novel microbial protein, an innovative and sustainable alternative to conventional aquafeed ingredients.","DeNova Inc., The Verschuren Centre, Neptune Properties Ltd.",General,2.56,7.25,06/10/2025,"Dartmouth, NS"
Digital Technology Cluster,"Smart Hook The Smart Hook transforms subsea untethered vehicle recovery by enabling safe, efficient operations in harsh ocean conditions. Operating autonomously, the system engages with the untethered vehicle below the wave-affected zone, reducing reliance on costly dynamically positioned vessels and reducing risks associated with vehicle recovery at the surface. With applications in deep-sea mining, AUV recovery operations and crewed submersible recovery, the Smart Hook will enhance operational windows and minimize environmental impact.","Impossible Metals Canada Inc., SEAMOR Marine Ltd",General,1.26,4.03,05/22/2025,"Collingwood, ON"
Digital Technology Cluster,"Enhanced Aquaculture Technology for Marine Health This project aims to revolutionize aquaculture practices by integrating cutting-edge technologies to enhance fish welfare, promote sustainability, optimize production as well as develop value in waste streams via new technologies.","Grieg Seafood Newfoundland, InnovaSea Marine Systems Canada Inc",General,2.38,5.98,05/22/2025,"Marystown, NL"
Digital Technology Cluster,"SafeOcean AI This project aims to leverage AI to address safety and productivity challenges in the ocean sector. The project will advance ""Internet of Safety"" tools and develop as well as implement Hazard Defence, which will support real-time hazard detention and intervention.","Training Works Inc., Alooki Technology Inc., Mitacs, Inc",PCAIS,1.12,2.57,05/22/2025,"St. John's, NL"
Digital Technology Cluster,"Tech Companion AI Search and 3D VisualizationThis project will develop a system integrating technical data, 3D visualization and advanced AI to provide an interactive way to plan, execute and track maintenance for ocean assets.","Modest Tree, Babcock Canada Inc.",General,0.97,2.5,04/15/2025,"Halifax, NS"
Digital Technology Cluster,"Digital Ship Predictive Intelligence This project will be leveraging AI to enhance maritime operations through predictive analytics of vessel performance and maintenance information. Through deep learning, reinforcement learning, and generative AI algorithms, this project will improve maintenance planning by providing vessel-specific operation, maintenance, and futureproofing of information critical to optimal ship operations.","Seaspan Shipyards, Maya HTT, The CSL Group Inc.",General,2.36,6,03/26/2025,Multiple Locations
Digital Technology Cluster,"Air Sea Ocean Monitoring System (ASOMS) This project will develop an efficient, scalable and affordable hybrid system for ocean and environmental monitoring by leveraging existing ocean observation platforms, ocean instruments, energy management solutions and artificial intelligence.","Open Ocean Robotics, Seahawk Robotics, ASL Environmental Inc., Rockland Scientific, Glas Ocean Electric",General,1.4,3.79,03/26/2025,Multiple Locations
Digital Technology Cluster,"Forecast AI This project will offer hyper-localized weather forecasts to port operation departments, vessel pilots and others. Access to high accuracy, hyper-local forecasts from numerous locations around an area of interest, such as a port, will offer actionable insights to enable new operational efficiencies and improve safety.","MarineLabs, Go Deep International, Leeway Marine",General,1.8,4.5,01/16/2025,Coastline of North America
Digital Technology Cluster,AI-Powered Vessel Automation Toolkit This project aims to develop and deliver an AI-powered vessel automation toolkit. This solution will transform regular vessels or hulls into smart vessels with autopilot capabilities and onboard edge computing. Partners will also be developing a cross-platform control software to improve data visualization and remote control. This tool will not only enable vessels to significantly enhance catch monitoring capabilities but will also support autonomous detection of ghost gear.,"Marine Thinking Inc., ACEL Power",General,1.55,3.87,01/16/2025,"Halifax, NS"
Digital Technology Cluster,"Amphibian UWILD Remote Robotic Platform for Underwater Inspection This project will develop a Launch and Recovery System (LARS) for INNVOTEK's Amphibian Underwater Inspection in Lieu of Dry-docking (UWILD) solution, and showcase the system to the public. The Amphibian UWILD offers a safe, technology-driven, and cost-effective robotic solution for underwater inspections, crucial for the thousands of vessels needing periodic inspections.","Marine Thinking, InnovateUK",General,0.33,0.94,01/16/2025,"Halifax, NS"
Digital Technology Cluster,"Generative AI/ML for Seafood ThisFish's Tally software is a smart manufacturing and supply chain platform that enables seafood processors to automate and digitize their production, quality control, traceability and inventory workflows using tablet computers and IoT devices in real-time on the factory floor. Working with industry and technology partners, ThisFish Inc. proposes to be the first company in the world to embed machine learning, computer vision and generative artificial intelligence (AI) into seafood production and supply chain traceability software. ThisFish Inc. has already integrated machine-learning algorithms---branded TallyBots---into its Tally software along with a new computer vision feature---branded TallyVision---which uses a smart camera to do automated, continuous quality inspection in seafood processing plants. This project proposes to advance these two new features and to integrate generative AI---branded TallyGPT---into the platform to improve insights and analytics.","ThisFish Inc., Orca Specialty Foods Ltd, Bitstrapped Inc., Canadian Food Innovation Network",General,0.66,1.66,09/12/2024,"Vancouver, BC"
Digital Technology Cluster,"Port Watch AI Dredging This project will be leveraging AI to enhance maritime operations through predictive analytics of vessel performance and maintenance information. Through deep learning, reinforcement learning, and generative AI algorithms, this project will improve maintenance planning by providing vessel-specific operation, maintenance, and futureproofing of information critical to optimal ship operations.","SeafarerAI Technology Inc., Teledyne Digital Imaging Inc",PCAIS,0.39,0.96,09/12/2024,"Saint John, NB"
Digital Technology Cluster,"DeepVision 3D - AI ROV Ship Modeling and Detection This project will be leveraging remotely operated vehicles (ROVs), AI, and advanced technologies to transform ship hull inspections. Equipped with multiple cameras, sonars, and sensors, this tool will collect precise, semi-autonomous, real-time data and analyze captured images to accurately detect defects (e.g., corrosion, contraband, fouling and cracks, sea chests, running gear). This information is presented in a dashboard, complete with a 3D model, with noted defects.","Deep Trekker Inc., Qii.AI",General,3.41,8.11,09/12/2024,"Kitchener, ON"
Digital Technology Cluster,CanUK Vessel-to-Grid This project will support deployment of bidirectional vessel-to-grid on electric vessels with charging in the UK and in Nova Scotia.,"BlueGrid, Innovate UK, Lennox Island First Nation, RS Electric Boats, RAD Propulsion, Aqua SuperPower",General,0.56,2.33,06/03/2024,"Halifax, NS"
Digital Technology Cluster,Over-Horizon Awareness of Seafloor Imaging Surveys This project will bring together Canadian and UK ocean technologies to commercialize an autonomous survey solution for marine environmental surveys.,"Voyis Imaging, InnovateUK, Marine Autonomous Robotic Systems, University of Southampton, AutoNaut Ltd",General,0.79,2.24,06/03/2024,"Waterloo, ON"
Digital Technology Cluster,"Net-Zero BVLOS Drones for Oceans This project will support the deployment of drones for a wide range of applications (e.g., shipping and environmental monitoring, aquaculture, offshort energy production) in the ocean ecosystem to drive commercial growth, improve productivity and sustainability.","Canadian UAVs, Innovate UK, Limosaero Limited",General,0.32,1.17,06/03/2024,Multiple Locations
Digital Technology Cluster,"Node Zero This project aims to develop the first of a global network of next-generation wave-powered, data collection buoys and marine autonomous systems hubs. Node Zero will provide oceanographic data to both the National Research Council and COVE's Digital Harbour, support autonomous underwater vehicle charging, and contribute to digital twinning solutions.","Compusult Ltd., InnovateUK, PicSea, Pure Marine Gen, GRi Simulations",General,0.58,2.29,06/03/2024,"Halifax, NS"
Digital Technology Cluster,"The Verifying Ocean Climate Impacts This project will develop robust methodologies to evaluate kelp's impact on carbon fixation, biodiversity, and ocean health. This includes carbon fixation assessments, the construction of energy-efficient floats, the establishment of microhatcheries for seed cultivation, and the implementation of monitoring, reporting and verification (MRV) systems. This evaluation will be guided by an Ocean Restoration Standard Operation Procedure (SOP), with an integrated Ocean index. This project will also provide tailored training in kelp farming and restoration techniques.","Veritree Technology, Coastal Kelp",General,2.11,4.95,05/27/2024,"Strait of Georgia, BC"
Digital Technology Cluster,"Canadian Electric Propulsion Acceleration Coalition This project aims to accelerate the development and commercialization of electric propulsion systems. It will validate and refine electric propulsion technology, including for marine data applications, and establish an electric boat manufacturing supply chain in Canada.","Photon Marine Canada, BlueGrid, Rosborough Boats, ABCO Industries, Malahat Solutions, VoltSafe, Mostar Labs",General,2.72,7,05/27/2024,Multiple Locations
Digital Technology Cluster,"Optimizing Maritime Supply Chain Operations This project will develop real-time carbon emissions monitoring and mitigation tools, integrated with advanced data analytics and tracking systems, to create a resilient cargo distribution network that factors in emissions, models climate-related risks, and supports cybersecurity.","OceanSync, BlueNode, Bespoke Global Logistics & Strategies",General,0.88,2.19,05/27/2024,"Halifax, NS"
Digital Technology Cluster,The AtoN Project This project will develop improved navigation buoys and mooring systems to ensure safer and more efficient maritime transportation.,"DSA Ocean, Go Deep International (NB) Inc",General,1.3,3.24,03/13/2024,"Victoria, BC"
Digital Technology Cluster,"Empowering Maritime Collaboration through AI This project will develop and implement a Collaborative Berth Scheduler, a solution connecting ships, pilotages and ports to optimize routes, improve port performance, and ensure resource efficiency. This solution will create the equivalent of an ""air traffic control system"" for ships.","Global Spatial Technology Solutions (GSTS), Canada Steamship Lines (CSL)",General,5,12.15,03/13/2024,"Dartmouth, NS"
Digital Technology Cluster,"OceanAI Navigator(PCAIS Project) This project will develop a mobile-first fleet management SaaS platform that leverages AI and data to optimize fuel consumption, routes, and predict maintenance needs.","CORSphere, LeeWay Marine, Energy Research & Innovation Newfoundland Labrador (ERINL)",PCAIS,0.95,2.44,03/13/2024,"St. John's, NL"
