"REF_DATE","GEO","DGUID","Main industry based on the North American Industry Classification System (NAICS)","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","7560","","","","0"
"2019","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","6840","","","","0"
"2020","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","6400","","","","0"
"2021","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","6700","","","","0"
"2022","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","6760","","","","0"
"2023","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","7370","","","","0"
"2017","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","3090","","","","0"
"2018","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","3210","","","","0"
"2019","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","3140","","","","0"
"2020","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","3390","","","","0"
"2021","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","4070","","","","0"
"2022","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","4180","","","","0"
"2023","St. John's, Newfoundland and Labrador","2021S05031","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709222","3.6.1","4390","","","","0"
"2017","Bay Roberts, Newfoundland and Labrador","2016S05045","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709330","4.2.1","80","","","t","0"
"2018","Bay Roberts, Newfoundland and Labrador","2016S05045","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709330","4.2.1","60","","","t","0"
"2019","Bay Roberts, Newfoundland and Labrador","2016S05045","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709330","4.2.1","60","","","t","0"
"2020","Bay Roberts, Newfoundland and Labrador","2016S05045","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709330","4.2.1","80","","","t","0"
"2017","Bay Roberts, Newfoundland and Labrador","2016S05045","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709336","4.3.1","130","","","t","0"
"2018","Bay Roberts, Newfoundland and Labrador","2016S05045","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709336","4.3.1","180","","","t","0"
"2019","Bay Roberts, Newfoundland and Labrador","2016S05045","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709336","4.3.1","180","","","t","0"
"2020","Bay Roberts, Newfoundland and Labrador","2016S05045","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709336","4.3.1","130","","","t","0"
"2017","Bay Roberts, Newfoundland and Labrador","2016S05045","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709342","4.4.1","40","","","t","0"
"2018","Bay Roberts, Newfoundland and Labrador","2016S05045","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709342","4.4.1","40","","","t","0"
"2019","Bay Roberts, Newfoundland and Labrador","2016S05045","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709342","4.4.1","40","","","t","0"
"2020","Bay Roberts, Newfoundland and Labrador","2016S05045","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709342","4.4.1","30","","","t","0"
"2017","Bay Roberts, Newfoundland and Labrador","2016S05045","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709348","4.5.1","1060","","","t","0"
"2018","Bay Roberts, Newfoundland and Labrador","2016S05045","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709348","4.5.1","1040","","","t","0"
"2019","Bay Roberts, Newfoundland and Labrador","2016S05045","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709348","4.5.1","950","","","t","0"
"2020","Bay Roberts, Newfoundland and Labrador","2016S05045","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709348","4.5.1","790","","","t","0"
"2017","Bay Roberts, Newfoundland and Labrador","2016S05045","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709354","4.6.1","240","","","t","0"
"2018","Bay Roberts, Newfoundland and Labrador","2016S05045","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709354","4.6.1","300","","","t","0"
"2019","Bay Roberts, Newfoundland and Labrador","2016S05045","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709354","4.6.1","310","","","t","0"
"2020","Bay Roberts, Newfoundland and Labrador","2016S05045","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709354","4.6.1","380","","","t","0"
"2017","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","90","","","","0"
"2018","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","80","","","","0"
"2019","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","70","","","","0"
"2020","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","70","","","","0"
"2021","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","30","","","","0"
"2022","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","40","","","","0"
"2023","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709462","5.2.1","30","","","","0"
"2017","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","110","","","","0"
"2018","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","110","","","","0"
"2019","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","160","","","","0"
"2020","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","140","","","","0"
"2021","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","130","","","","0"
"2022","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","150","","","","0"
"2023","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709468","5.3.1","150","","","","0"
"2017","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","120","","","","0"
"2018","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","130","","","","0"
"2019","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","120","","","","0"
"2020","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","130","","","","0"
"2021","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","120","","","","0"
"2022","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","110","","","","0"
"2023","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709474","5.4.1","120","","","","0"
"2017","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","550","","","","0"
"2018","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","500","","","","0"
"2019","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","450","","","","0"
"2020","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","420","","","","0"
"2021","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","450","","","","0"
"2022","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","430","","","","0"
"2023","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709480","5.5.1","450","","","","0"
"2017","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","110","","","","0"
"2018","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","100","","","","0"
"2019","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","100","","","","0"
"2020","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","100","","","","0"
"2021","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","160","","","","0"
"2022","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","200","","","","0"
"2023","Grand Falls-Windsor, Newfoundland and Labrador","2021S050410","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709486","5.6.1","200","","","","0"
"2017","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","60","","","","0"
"2018","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","40","","","","0"
"2019","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","40","","","","0"
"2020","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","40","","","","0"
"2021","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","20","","","","0"
"2022","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","30","","","","0"
"2023","Gander, Newfoundland and Labrador","2021S050411","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709594","6.2.1","20","","","","0"
"2017","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","90","","","","0"
"2018","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","110","","","","0"
"2019","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","150","","","","0"
"2020","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","170","","","","0"
"2021","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","170","","","","0"
"2022","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","200","","","","0"
"2023","Gander, Newfoundland and Labrador","2021S050411","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709600","6.3.1","210","","","","0"
"2017","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","30","","","","0"
"2018","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","30","","","","0"
"2019","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","30","","","","0"
"2020","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","20","","","","0"
"2021","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","20","","","","0"
"2022","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","20","","","","0"
"2023","Gander, Newfoundland and Labrador","2021S050411","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709606","6.4.1","30","","","","0"
"2017","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","480","","","","0"
"2018","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","400","","","","0"
"2019","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","360","","","","0"
"2020","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","310","","","","0"
"2021","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","350","","","","0"
"2022","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","380","","","","0"
"2023","Gander, Newfoundland and Labrador","2021S050411","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709612","6.5.1","380","","","","0"
"2017","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","100","","","","0"
"2018","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","100","","","","0"
"2019","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","110","","","","0"
"2020","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","110","","","","0"
"2021","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","160","","","","0"
"2022","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","170","","","","0"
"2023","Gander, Newfoundland and Labrador","2021S050411","Manufacturing [31-33]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709618","6.6.1","170","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","170","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","170","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","180","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","170","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","130","","","","0"
"2022","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","150","","","","0"
"2023","Corner Brook, Newfoundland and Labrador","2021S050415","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709726","7.2.1","140","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","190","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","220","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","270","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","230","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","170","","","","0"
"2022","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","180","","","","0"
"2023","Corner Brook, Newfoundland and Labrador","2021S050415","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709732","7.3.1","200","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2020","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2021","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2022","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2023","Corner Brook, Newfoundland and Labrador","2021S050415","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709738","7.4.1","50","","","","0"
"2017","Corner Brook, Newfoundland and Labrador","2021S050415","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709744","7.5.1","1440","","","","0"
"2018","Corner Brook, Newfoundland and Labrador","2021S050415","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709744","7.5.1","1310","","","","0"
"2019","Corner Brook, Newfoundland and Labrador","2021S050415","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709744","7.5.1","1120","","","","0"
